LCN2,HHEX,CRISP3,CAMP,KLF10,SOX4,HOXA9,MAP3K7CL,MAPK12,TRIO,DEFT1P,GAS5,BMP1,CD8B2,SOCS5,PTH2R,MARK4,FSCN1,CYP4F3,ZNF469,DNAH10,HOXA10,VPREB3,EEF1A1,C6orf48,ASPH,MMP9,SLC17A9,UBE2E2,RPL22,NETO2,OLFM4,IL7R,PNKD,ORM1,RAB37,TUBB1,FBXL19,RTN2,MSRB3,C5,CFD,ORM2,SNX33,FLT3,AL022313.1,MERTK,CD160,ALOX12,PKLR,CD44,CD8B,TCL1A,ITPR1,AL031316.1,CRTC1,IGF2BP2,URB1.AS1,SLC25A21,ARRDC4
0.7245664,0.717144549,0.568688035,0.666116834,0.801894009,0.720897138,0.707018256,0.306278169,0.388596505,0.441760689,0.121360205,0.847350717,0.463013947,0.177491307,0.572898567,0.460169733,0.604073524,0.651587248,0.357187212,0.463540345,0.175746292,0.60625577,0.179349199,0.700346828,0.794868946,0.339384168,0.718891561,0.542764664,0.273533106,0.802240789,0.446046829,0.613645256,0.440551251,0.679388523,0.393290669,0.626938403,0.642999172,0.279313594,0.469571084,0.519307673,0.049343459,0.717434287,0.052285139,0.398766786,0.387059152,0.51196897,0.497940749,0.234865844,0.249242544,0.448479354,0.812092125,0.2959795,0.313872695,0.494874179,0.164767757,0.342477292,0.726036191,0.420450926,0.132753745,0.611258268
0.375027239,0.737177849,0.391634405,0.435196459,0.838449776,0.702014148,0.781596541,0.368430048,0.313733459,0.401965559,0.274651766,0.83879447,0.391945243,0.345894605,0.503288984,0.389339566,0.559281409,0.517708898,0.354567319,0.373666257,0.07257393,0.645391405,0.262357086,0.648119628,0.740075946,0.565244913,0.582719982,0.49728924,0.549243033,0.770335019,0.450796008,0.05456616,0.510082603,0.658968508,0.34068045,0.630213022,0.464525372,0.401442498,0.458904475,0.69094044,0.415032297,0.8546049,0.155435994,0.378580958,0.696355462,0.336448789,0.464366853,0.31861043,0.297442973,0.184173912,0.813380241,0.30581063,0.341819584,0.510868728,0.259916931,0.331267774,0.658402324,0.406369656,0.140701488,0.617294669
0.424371064,0.732716799,0.67449522,0.502665043,0.805656314,0.784399152,0.670947671,0.32810089,0.390492201,0.400326371,0.358452052,0.839314342,0.371052444,0.292623162,0.56627512,0.5194574,0.515676439,0.589847565,0.479685366,0.365851909,0.170633137,0.583191872,0.137712568,0.653345823,0.824230373,0.488705426,0.562434793,0.555822909,0.612623394,0.804465413,0.512844086,0.691969573,0.427992433,0.577133298,0.249994278,0.640857041,0.406413853,0.41698578,0.344706506,0.741170406,0.407165706,0.829022765,0.17904982,0.358154833,0.66917938,0.425989538,0.38031584,0.214447498,0.236172885,0.331001937,0.796280146,0.160874158,0.247155398,0.497881442,0.108184956,0.291716009,0.628344953,0.464067638,0.320020705,0.638375938
0.22555083,0.702801883,0.023831747,0.221772134,0.773760259,0.782844186,0.111766547,0.292069823,0.383092135,0.511636376,0.236133233,0.846585512,0.346145183,0.184703812,0.491744012,0.543585837,0.539853692,0.483285934,0.245277762,0.37005195,0.161060438,0.070043221,0.246589407,0.675471604,0.807591975,0.570889056,0.368735284,0.690306604,0.592381477,0.805536568,0.501321316,0.142840743,0.319561839,0.667004585,0.259523422,0.688179493,0.303888589,0.350999445,0.345368922,0.669953465,0.408081919,0.761252344,0.091603741,0.3335706,0.62412101,0.329868019,0.446561754,0.306027234,0.205943882,0.382416755,0.825552285,0.24059172,0.305161446,0.493042409,0.022035182,0.340507358,0.597925246,0.361514896,0.069309607,0.609054923
0.663729668,0.690306604,0.277282655,0.786973536,0.818578064,0.802125096,0.128420711,0.300271422,0.415092707,0.46102196,0.219012648,0.846776068,0.37409693,0.322949916,0.490778923,0.076171815,0.518368542,0.378621846,0.517072082,0.364037782,0.011429409,0.136314049,0.187148198,0.66498208,0.809193194,0.596444786,0.765500307,0.641925097,0.656714499,0.816009939,0.409356803,0.31992653,0.440127373,0.607308865,0.344157398,0.723715961,0.411472261,0.397041976,0.367118955,0.726776779,0.380795389,0.734798133,0.060934354,0.313524663,0.773315489,0.259264708,0.454133183,0.3198677,0.240102336,0.25267458,0.834257185,0.239384025,0.162338868,0.505575478,0.139815688,0.287282974,0.582969666,0.396225601,0.277475715,0.622108817
0.454661578,0.743246853,0.027535595,0.44271183,0.815213323,0.765417218,0.64307344,0.242463365,0.521109819,0.489778668,0.238646716,0.862887502,0.528002381,0.171755567,0.660596013,0.047756646,0.635926545,0.571126103,0.115605697,0.179657772,0.265834898,0.526306033,0.294620693,0.738450766,0.796389461,0.343808383,0.594857216,0.612241566,0.488992512,0.828868985,0.404680461,0.10783644,0.367899776,0.578843951,0.227524936,0.587568998,0.333959699,0.150099754,0.450526536,0.579827309,0.417396098,0.648808002,0.157518968,0.404695123,0.610878885,0.46560204,0.476000518,0.361853808,0.244572803,0.281482846,0.791473448,0.281926513,0.181648418,0.524250031,0.101918131,0.380042076,0.693898499,0.387240499,0.124530219,0.63786906
0.704336286,0.69859457,0.386682808,0.60914886,0.814161539,0.769816756,0.462681055,0.233295441,0.496088922,0.462558478,0.283596694,0.837594211,0.456715614,0.406443298,0.560059547,0.433276832,0.663355708,0.705832422,0.238487422,0.402474821,0.172798589,0.483511299,0.308107376,0.689142942,0.818578064,0.579198539,0.597183764,0.588733792,0.654685795,0.78808111,0.428762376,0.441498786,0.4007608,0.670817673,0.312077403,0.753924787,0.493392259,0.415198445,0.511948168,0.721910357,0.395996779,0.825109482,0.082465351,0.41447407,0.788182378,0.394983143,0.359228462,0.44564876,0.415364653,0.331884652,0.82307148,0.323697239,0.205510363,0.540224433,0.075198583,0.34529388,0.696507096,0.442268699,0.197904527,0.590823114
0.239713132,0.740827441,0.089973137,0.154149741,0.623548806,0.787576258,0.809691191,0.230295047,0.412909836,0.415894091,0.250207812,0.818852603,0.393361628,0.294798672,0.537067652,0.41593951,0.546707451,0.603401899,0.303979367,0.267482847,0.059962023,0.685134113,0.244824469,0.65945518,0.779609859,0.55513221,0.519735634,0.587540627,0.493392259,0.78808111,0.376976222,0.077505589,0.429534137,0.651354074,0.056251053,0.726962507,0.463294566,0.447460741,0.408052325,0.753546715,0.374797821,0.818167865,0.089049801,0.357445002,0.797268391,0.407579154,0.321589142,0.14208369,0.265593916,0.225575149,0.803992927,0.258324057,0.319068253,0.566740215,0.008692818,0.343621522,0.674583733,0.418385893,0.1378382,0.501341343
0.483981341,0.704283178,0.127432033,0.433915436,0.796498895,0.638956845,0.824668884,0.166404277,0.379932642,0.419638693,0.197345957,0.836579025,0.373989224,0.192246884,0.518539071,0.17904529,0.555477321,0.508969367,0.279507458,0.31808278,0.09502618,0.707451761,0.255265802,0.693699598,0.788995802,0.640820324,0.497230083,0.464966178,0.580897391,0.805059075,0.476256937,0.491376877,0.333716452,0.588335335,0.284531921,0.641703606,0.239763021,0.266768426,0.551537991,0.74822253,0.458040833,0.866293907,0.060233183,0.406281322,0.783813477,0.289356798,0.431304991,0.197145909,0.292999834,0.182837144,0.813639998,0.181875989,0.23477684,0.565527797,0.332356989,0.355990678,0.664480031,0.475671113,0.073237903,0.65655452
0.487369478,0.763439596,0.211882457,0.435597807,0.766502082,0.777197421,0.799611568,0.167444929,0.391337931,0.187533453,0.152926788,0.842685938,0.437935531,0.34520632,0.502644956,0.164625213,0.587229192,0.59715414,0.231591657,0.356209129,0.130383,0.625202477,0.317228138,0.714334786,0.803875208,0.560537755,0.421711475,0.63248539,0.634145141,0.833767891,0.106978096,0.094454303,0.3870731,0.637219369,0.257565558,0.699777782,0.371680796,0.334166557,0.426864326,0.690745115,0.407283783,0.858292341,0.026909471,0.270689249,0.652718604,0.437111378,0.35847789,0.113073856,0.305753648,0.447610825,0.818852603,0.259099215,0.27761519,0.476376057,0.003514971,0.357174337,0.683258951,0.392383724,0.207217857,0.415153116
