SULF1,COL8A1,INHBA,FN1,COL10A1,THBS2,NTM,NOX4,RASAL2,ADAMTS12,CAPG,LTBP1,CTHRC1,FAP,WISP1,VCAN,TIMP1,MIR34AHG,SLPI,GPRC5A
11.74420428,10.36217486,11.3065846,13.47662099,11.53944642,11.90061053,9.840302955,8.731573314,9.120702278,9.233914764,9.902275439,9.681167855,12.21445084,10.31726538,8.887658715,12.35213254,13.52508069,7.105178967,10.97178558,11.15774482
11.86657069,10.31725791,11.40317915,13.42823239,11.01365372,12.0454782,9.949397977,8.781042693,8.870302205,9.286281952,9.601894818,9.763729283,12.22324695,10.31015359,8.768771473,12.5602279,13.42461841,7.092807944,11.06980414,10.81989804
11.14427214,9.697621801,11.02411075,13.15562089,10.9142284,11.37035075,9.72589212,7.513540081,8.920294588,8.194044259,10.00792923,8.998764436,11.61968814,9.738499664,8.226504695,12.03217717,13.26165002,6.924357297,9.918996982,10.42393921
11.14609335,9.653507541,10.84803721,13.27576199,10.56979654,11.61185151,9.868236415,7.595687176,8.812650304,8.415070192,9.914384785,9.295705466,11.45848273,9.748067721,8.377814093,12.2080258,13.22424308,7.056451796,10.13665282,10.17200839
11.69358201,10.96951652,11.37353977,13.69481948,11.87224087,12.22857531,10.34711559,8.990907305,8.623187647,9.253270821,9.227919605,10.00826015,11.99996706,10.0152522,8.684374972,12.49554541,12.96796418,7.196580264,11.71024263,11.6363293
10.47981112,10.61706527,10.389681,12.57088047,8.180982968,10.98485141,9.320281613,7.306475393,9.020246092,8.242801307,8.179833505,10.11892515,11.3312457,9.795877818,9.47875056,12.0804018,12.72754599,6.544019961,7.95340264,9.232609957
9.94037359,9.385418172,8.386313246,12.91835045,6.075498063,10.60271195,6.49696246,5.709163192,8.387953425,6.291666006,8.236190254,10.25338416,9.865805397,8.354958912,7.809324909,11.55410283,12.76345231,6.291425602,8.261685905,8.6702311
8.991224636,7.451966701,8.111598221,11.70174725,7.997434345,8.859501445,7.298748452,5.883173811,7.915749233,6.564728844,9.102696728,7.77140111,10.28023109,7.940381888,7.189031062,10.75933025,12.88782476,6.439674983,7.927766599,9.033244862
10.0993913,9.470998548,8.920440343,12.66978402,8.56291156,10.69551196,8.674966272,7.111337894,8.532524301,7.771658496,9.030319556,8.743187799,11.16242469,9.38311841,8.245236676,11.8771361,12.96441995,6.884281524,7.111984805,9.412175338
11.12006207,8.840119316,10.17335276,13.2022032,9.401217935,10.26253722,9.068152768,6.583440528,8.1958569,8.714419527,8.915471533,8.696656682,11.48824369,9.84847452,8.143629326,11.72792416,12.3672055,6.31082237,9.31614318,10.74768566
